nonce	nonce_disc	syl_struc	n_neighbours
pűpé	pYpE	cvcv	0
hékü	hEky	cvcv	0
zivo	zivo	cvcv	0
zsöté	ZwtE	cvcv	0
dútu	dUtu	cvcv	0
tyódo	KOdo	cvcv	0
cázsu	cAZu	cvcv	0
tyenyí	KeNI	cvcv	0
töjü	twjy	cvcv	0
tyékü	KEky	cvcv	0
nédzso	nEDo	cvcv	0
divá	divA	cvcv	0
tyányu	KANu	cvcv	0
fepö	fepw	cvcv	0
ládze	lAdze	cvcv	0
möpü	mwpy	cvcv	0
micü	micy	cvcv	0
csurí	TurI	cvcv	0
szűdzsu	sYDu	cvcv	0
jóhé	jOhE	cvcv	0
zego	zego	cvcv	0
favú	favU	cvcv	0
dzsáke	DAke	cvcv	0
zúdő	zUdW	cvcv	0
zsádzsé	ZADE	cvcv	0
dzsümű	DymY	cvcv	0
jidzsu	jiDu	cvcv	0
lónö	lOnw	cvcv	0
danye	daNe	cvcv	0
fűcsó	fYTO	cvcv	0
nudzsí	nuDI	cvcv	0
zsage	Zage	cvcv	0
rüzí	ryzI	cvcv	0
póvö	pOvw	cvcv	0
szűfü	sYfy	cvcv	0
defí	defI	cvcv	0
luzsú	luZU	cvcv	0
ladzsí	laDI	cvcv	0
fóní	fOnI	cvcv	0
pömu	pwmu	cvcv	0
huzso	huZo	cvcv	0
kozí	kozI	cvcv	0
csáfí	TAfI	cvcv	0
dzsocú	DocU	cvcv	0
jűzö	jYzw	cvcv	0
letyú	leKU	cvcv	0
csűfá	TYfA	cvcv	0
rótye	rOKe	cvcv	0
csadí	TadI	cvcv	0
zodzsü	zoDy	cvcv	0
cúmü	cUmy	cvcv	0
fűpá	fYpA	cvcv	0
mődú	mWdU	cvcv	0
húfa	hUfa	cvcv	0
jőzsó	jWZO	cvcv	0
zűzé	zYzE	cvcv	0
jőtyű	jWKY	cvcv	0
csoze	Toze	cvcv	0
mutyí	muKI	cvcv	0
pűzsu	pYZu	cvcv	0
mócű	mOcY	cvcv	0
sídzso	SIDo	cvcv	0
gífé	gIfE	cvcv	0
rödá	rwdA	cvcv	0
gudza	gudza	cvcv	0
gédo	gEdo	cvcv	0
jídzü	jIdzy	cvcv	0
zsűpí	ZYpI	cvcv	0
dódzsá	dODA	cvcv	0
midzú	midzU	cvcv	0
zutú	zutU	cvcv	0
cémá	cEmA	cvcv	0
sódzű	SOdzY	cvcv	0
gőná	gWnA	cvcv	0
dzsúcsű	DUTY	cvcv	0
fúnyo	fUNo	cvcv	0
fádzsá	fADA	cvcv	0
jűcso	jYTo	cvcv	0
pűdzű	pYdzY	cvcv	0
róro	rOro	cvcv	0
csőzsű	TWZY	cvcv	0
vúvü	vUvy	cvcv	0
csotú	TotU	cvcv	0
nűnű	nYnY	cvcv	0
dzsálö	DAlw	cvcv	0
zsöku	Zwku	cvcv	0
linyé	liNE	cvcv	0
hövö	hwvw	cvcv	0
vúsé	vUSE	cvcv	0
dzaco	dzaco	cvcv	0
hücü	hycy	cvcv	0
sőnyü	SWNy	cvcv	0
dzakú	dzakU	cvcv	0
zícő	zIcW	cvcv	0
jédó	jEdO	cvcv	0
tyünó	KynO	cvcv	0
mőjá	mWjA	cvcv	0
cofo	cofo	cvcv	0
müdó	mydO	cvcv	0
lüdzsa	jDa	cvcv	0
gűsó	gYSO	cvcv	0
fikő	fikW	cvcv	0
dzöje	dzwje	cvcv	0
gécsó	gETO	cvcv	0
zsüpó	ZypO	cvcv	0
csetyá	TeKA	cvcv	0
zsízsé	ZIZE	cvcv	0
püszu	pysu	cvcv	0
cöpu	cwpu	cvcv	0
múpő	mUpW	cvcv	0
zsóno	ZOno	cvcv	0
cűsö	cYSw	cvcv	0
pedzsí	peDI	cvcv	0
fósú	fOSU	cvcv	0
núlí	nUlI	cvcv	0
tyőli	KWli	cvcv	0
dzökú	dzwkU	cvcv	0
zsóhű	ZOhY	cvcv	0
cömö	cwmw	cvcv	0
jőzsű	jWZY	cvcv	0
vodű	vodY	cvcv	0
dződu	dzWdu	cvcv	0
szűdza	sYdza	cvcv	0
zsílá	ZIlA	cvcv	0
nyofő	NofW	cvcv	0
tyonyí	KoNI	cvcv	0
nyümu	Nymu	cvcv	0
cémű	cEmY	cvcv	0
vökó	vwkO	cvcv	0
nídzü	nIdzy	cvcv	0
gíne	gIne	cvcv	0
döcsí	dwTI	cvcv	0
tatyű	taKY	cvcv	0
szönö	swnw	cvcv	0
dzsézsu	DEZu	cvcv	0
zsasű	ZaSY	cvcv	0
pícő	pIcW	cvcv	0
dzsőzsi	DWZi	cvcv	0
cízí	cIzI	cvcv	0
rüzsö	ryZw	cvcv	0
tyázse	KAZe	cvcv	0
jőszű	jWsY	cvcv	0
lőfí	lWfI	cvcv	0
jűgo	jYgo	cvcv	0
dzovu	dzovu	cvcv	0
lazsű	laZY	cvcv	0
työsű	KwSY	cvcv	0
mídze	mIdze	cvcv	0
nyíhé	NIhE	cvcv	0
rüdzö	rydzw	cvcv	0
júcső	jUTW	cvcv	0
dáví	dAvI	cvcv	0
ződu	zWdu	cvcv	0
sőfú	SWfU	cvcv	0
dütyü	dyKy	cvcv	0
työsú	KwSU	cvcv	0
tyozü	Kozy	cvcv	0
rődzu	rWdzu	cvcv	0
csötyu	TwKu	cvcv	0
vocső	voTW	cvcv	0
gejö	gejw	cvcv	0
vofe	vofe	cvcv	0
rúpú	rUpU	cvcv	0
pótyű	pOKY	cvcv	0
dzsózü	DOzy	cvcv	0
szédze	sEdze	cvcv	0
dzsútyú	DUKU	cvcv	0
vöju	vwju	cvcv	0
pógö	pOgw	cvcv	0
sédző	SEdzW	cvcv	0
zseszö	Zesw	cvcv	0
tyacü	Kacy	cvcv	0
kügé	kygE	cvcv	0
zsűpá	ZYpA	cvcv	0
jücső	jyTW	cvcv	0
lozsí	loZI	cvcv	0
núdzsú	nUDU	cvcv	0
kédzo	kEdzo	cvcv	0
dzsajü	Dajy	cvcv	0
fope	fope	cvcv	0
kódzó	kOdzO	cvcv	0
cögu	cwgu	cvcv	0
vönyú	vwNU	cvcv	0
nyépű	NEpY	cvcv	0
tyáfe	KAfe	cvcv	0
dzsínyü	DINy	cvcv	0
zsécű	ZEcY	cvcv	0
rűcű	rYcY	cvcv	0
tyúcsí	KUTI	cvcv	0
míjú	mIjU	cvcv	0
csodzsé	ToDE	cvcv	0
pedzsü	peDy	cvcv	0
zédü	zEdy	cvcv	0
naho	naho	cvcv	0
jölá	jwlA	cvcv	0
zépü	zEpy	cvcv	0
súcsu	SUTu	cvcv	0
zsiszü	Zisy	cvcv	0
lömű	lwmY	cvcv	0
púku	pUku	cvcv	0
csőkö	TWkw	cvcv	0
kúzü	kUzy	cvcv	0
nihu	nihu	cvcv	0
dísü	dISy	cvcv	0
zóce	zOce	cvcv	0
gágí	gAgI	cvcv	0
nóhú	nOhU	cvcv	0
tíszo	tIso	cvcv	0
dzsúdze	DUdze	cvcv	0
mózsü	mOZy	cvcv	0
dzúhí	dzUhI	cvcv	0
gőszú	gWsU	cvcv	0
vüdu	vydu	cvcv	0
núrő	nUrW	cvcv	0
füdzsű	fyDY	cvcv	0
cótyü	cOKy	cvcv	0
jífő	jIfW	cvcv	0
dzsófö	DOfw	cvcv	0
tyuzsű	KuZY	cvcv	0
jamí	jamI	cvcv	0
vűké	vYkE	cvcv	0
nyöha	Nwha	cvcv	0
tacé	tacE	cvcv	0
