target word	syllable structure	number of neighbours	as many neighbours as target	+/- 1 neighbours	+/- 2 neighbours
bélyeg	cvcvc	1	zügor, pőpoz, ponóty, finad, nyüdzsed, tófőj, kovür, delűj, tanoz	zsűpat, főjízs, gükos, jöhüc, tyecset, pazád, zsösúc, csüléh, fűsír, pehéc	puszip, rehed, semer, kacéj, csikak, fejük, csukós, sipáz
beton	cvcvc	4	vízis, gakad, vécek, moham, csakács, kőzeg, meszéj	térid, sipáz, vázok, somok, téhes, lesís, csalet, kurics, lelezs	növir, póric, kanah, padzsír, gürős, jósot, szánász, zutén, vühet, leheh
butik	cvcvc	2	zutén, fülosz, kötőd, fúváp, póric, jósot, lütás, rapij, holot, növir	matéj, csedős, kicsög, pápat, repér, nyeher, szocsid, sílóz, delűj, csisáz	pőhűn, főjízs, jamiv, vösök, faces, pofok, szudzág, hekeg, sulédz, nyópény
cölöp	cvcvc	0	tadzöd, cöcsék, vazász, cuhaj, zsösúc, sizséz, fácöc, tyíkój, lüzsum, kőzsim	sölesz, zsínat, mokáf, münyür, ríküt, ficsúv, ritiz, finad, mityes, heríd	leheh, póric, zutén, tolec, jedecs, tódír, laval, jákój, szolud, málüzs
cserép	cvcvc	2	digóm, máras, húség, híszik, vágóf, lidor, vühet, sikeg, laval, konász	vilün, fűsöl, ritiz, hunyóv, dagog, nyeher, havís, szanyics, tusziz, fidos	meszéj, fijüv, sepoty, csanér, jöhüc, cöcsék, dzüleny, sulédz, dzanyím, cefűcs
dívány	cvcvc	2	sípel, jósot, fagon, kizéd, mifor, póric, megir, leheh, padzsír, rapij	csikak, colós, natín, hászút, dotáty, sátot, retót, szenyéh, repér, fünés	zsödzsűn, szudzág, vösök, szöhüg, dívod, pofok, sünyoj, sulédz, szanyics, szarődzs
fátyol	cvcvc	0	tyíkój, fűsír, rövézs, faces, mótát, dzamem, dzanyím	linuf, szacsúk, múcsot, főler, heniny, dúles, sátín, pőpoz, szőzsén	cégéf, szecsil, fagon, megög, tyecset, jósot, tavizs, gükos, húség, gürős
fotel	cvcvc	2	jedecs, növir, szuvós, mocsiny, lütás, kóper, fisik, fúváp, sikeg, múláz	kicsög, csúfif, föciv, mészis, pehéc, tihacs, kílás, tunűsz, gepár, lovúk	gíród, jamiv, cefűcs, tyíkój, dzanyím, csanér, vedüc, mótát, főjízs, gádák
gödör	cvcvc	4	dívod, hasic, vízis, csakács, köjet, kóler, kapom	duzsaj, hívány, sipáz, kurics, vázok, csalet, térid	pagel, szuvós, szerév, húség, hevíz, máras, ládan, metét
hasáb	cvcvc	0	sünyoj, fácöc, pűdzín, pagel, szópűr, nyűdzőj, vösök, vazász	zsutos, jüvöm, nizsap, tészesz, natín, colós, tyuhűj, csecél, nyüdzsed, gűjük	csérél, löszet, szolud, tötyök, tuzser, dukan, cémej, majacs, holot, gehed
horog	cvcvc	7	ködön, fopat	véreg, kapon, szőnény, metét	téhes, lelezs, ködet
jászol	cvcvc	3	semer, somok, száracs, kurics, káran, duzsaj, szécsén, pápat, dásos	guszáj, cémej, megir, jedecs, kévédzs, fölór, csakács, digóm	vívej, zizony, zsutos, rajaj, pekit, pöták, jacal, gerőr, hónid, gepár
